4,185,72674,8.0
1,18,12000,5.9
2,68,18000,7.2
1,23,10000,7.2
3,112,55233,7.4
3,91,78488,5.9
1,30,12000,7.2
1,18,9000,6.9
1,20,10000,7.2
3,59,14000,7.4
4,125,145349,5.9
4,90,26163,7.2
2,50,20000,6.1
1,50,17442,6.6
3,62,18500,7.2
4,180,72674,7.7
2,50,34884,5.9
4,155,101744,5.9
2,56,40698,5.9
2,62,42151,5.9
1,55,29070,5.9
2,50,37791,5.9
2,72,43605,5.9
2,55,39244,5.9
2,60,42151,5.9
2,64,46512,5.9
2,60,61047,5.9
2,69,29070,6.9
3,109,37791,8.3
3,129,72674,5.9
3,87,72674,7.7
3,91,78488,5.0
3,100,78488,7.2
3,130,101744,5.9
4,120,69767,5.9
3,90,52326,5.9
2,76,23000,5.0
3,80,27500,5.9
3,140,58140,7.7
3,85,46512,5.9
1,45,36337,7.7
2,62,66860,7.7
2,50,46512,5.9
2,81,81433,5.0
3,95,58140,7.7
2,79,37791,5.9
1,52,29070,5.9
2,48,37791,Київ
3,100,37791,7.7
2,79,55233,7.7
2,64,32573,5.9
3,100,55233,7.2
2,50,31977,7.7
1,52,37791,7.7
1,35,18169,5.0
2,62,43605,5.9
3,115,87209,5.9
4,120,110465,5.9
1,50,16200,7.2
2,65,43605,8.0
1,34,12000,7.9
3,112,55233,7.4
3,120,130523,7.7
2,62,52326,7.7
2,67,26000,7.3
3,100,72674,7.7
1,55,31977,5.9
2,62,40698,5.9
3,98,34884,8.0
2,75,12500,Коцюбинське
3,120,52326,5.9
1,33,10400,7.7
3,155,145349,5.9
5,372,436047,5.9
4,130,26000,7.2
2,42,13000,7.7
2,65,32573,7.7
3,101,46512,7.7
2,48,29070,5.0
2,50,66860,5.9
4,260,392442,5.9
1,50,18500,7.4
4,250,392442,5.9
1,22,11000,7.2
4,184,188954,5.9
2,84,25000,8.9
1,65,46512,5.0
3,102,203488,5.9
3,144,174419,5.9
2,120,174419,5.9
4,120,107558,5.0
3,70,15000,7.3
6,200,247093,5.9
4,130,122093,5.9
3,120,72674,5.9
3,120,81395,5.9
3,120,81395,7.2
3,120,104651,5.9
2,50,12000,6.1
3,100,39088,5.9
